,paperID,pos_score,sent_pos,text
234,soylent-uist2010.,0.867300271987915,234,"We require a minimum of six workers in Find, three workers in Fix, and three workers in Verify."
377,soylent-uist2010.,0.8479893803596497,377,The five tasks in the left column led to a variety of request strategies.
353,soylent-uist2010.,0.7994505167007446,353,We then sent the description to Mechanical Turk and requested that five Turkers complete each request.
284,soylent-uist2010.,0.7880347371101379,284,Workers were able to blend these cuts into the sentence easily.
358,soylent-uist2010.,0.732488751411438,358,Results Users were generally successful at communicating their intention (Table III).
352,soylent-uist2010.,0.6785865426063538,352,We asked them to write a task description for their prompt using The Human Macro.
42,soylent-uist2010.,0.5528777241706848,42,"Instead of training on previous users, we ask crowd workers to solve personalized tasks on demand each time."
225,soylent-uist2010.,0.49783745408058167,225,At least 20% of the Turkers must agree on a text region.
344,soylent-uist2010.,0.47474169731140137,344,Human Macro Evaluation We were interested in understanding whether end users could instruct Mechanical Turk workers to perform openended tasks.
416,soylent-uist2010.,0.3126634955406189,416,Future work falls in three categories.
285,soylent-uist2010.,0.2795543372631073,285,"Even the most technical input texts had extraneous phrases, so Shortn was usually able to make at least one small edit of this nature in each paragraph."
361,soylent-uist2010.,0.22446377575397491,361,Example Input I gave one final glance around before descending from the barrow.
220,soylent-uist2010.,0.20527848601341248,220,grammatical errors.
348,soylent-uist2010.,0.18929815292358398,348,We recruited two sets of users: five undergraduate and graduate students in our computer science department (4 male) and five administrative associates in our department (all female).
195,soylent-uist2010.,0.16977541148662567,195,Each task now consists of a constrained edit to an area of interest.
18,soylent-uist2010.,0.16878704726696014,18,Copyright 2010 ACM 978-1-4503-0271-5/10/10....$10.00.
7,soylent-uist2010.,0.14856219291687012,7,Graphical user interfaces.
150,soylent-uist2010.,0.142757385969162,150,We draw on this experience in the sections to follow.
262,soylent-uist2010.,0.10312724858522415,262,"But in order to get people to pay for their magazine and newspaper apps, they are going to have to offer something different that readers cannot get at the newsstand or on the open Web."
299,soylent-uist2010.,0.08833258599042892,299,Combining Word and Shortn caught 24 of the 37 errors.
199,soylent-uist2010.,0.08263631165027618,199,The Verify stage performs quality control on revisions.
239,soylent-uist2010.,0.061540838330984116,239,Backend scripts use the TurKit Mechanical Turk toolkit [16].
313,soylent-uist2010.,0.05514894798398018,313,Probably unrealistic.
357,soylent-uist2010.,0.03647707402706146,357,"If the Turker completed the task but made a small error, the result was coded as good intention and poor accuracy."
177,soylent-uist2010.,0.030051464214920998,177,Both the Lazy Turker and the Eager Beaver are looking for a way to clearly signal to the requester that they have completed the work.
233,soylent-uist2010.,0.028794530779123306,233,"To keep the algorithm responsive, we use a 15-minute timeout at each stage."
246,soylent-uist2010.,0.026674000546336174,246,"We required 6–10 workers to complete the Find tasks and 3–5 workers to complete the Fix and Verify tasks: if a Find task failed to recruit even six workers, it might wait indefinitely."
210,soylent-uist2010.,0.026291174814105034,210,The Verify stage reduces noise in the returned result.
298,soylent-uist2010.,0.02144377864897251,298,Microsoft Word's grammar checker caught 13 of the errors.
211,soylent-uist2010.,0.020529981702566147,211,"Anecdotally, Turkers are better at vetting suggestions than they are at producing original work."
237,soylent-uist2010.,0.018803559243679047,237,IMPLEMENTATION Soylent consists of a front-end application-level add-in to Microsoft Word and a back-end service to run Mechanical Turk tasks (Figure 4).
111,soylent-uist2010.,0.017785629257559776,111,Removing whole arguments or sections is left to the user.
215,soylent-uist2010.,0.015966804698109627,215,"Rather than wait for ten Turkers to complete the Find task before moving on to Fix, a timeout parameter can force our algorithm to advance if a minimum threshold of workers have completed the work."
137,soylent-uist2010.,0.01437719352543354,137,"The form suggests that the user provide an example input and output, which is an effective way to clarify the task requirements to workers."
19,soylent-uist2010.,0.013778203167021275,19,answer ourselves [8]; masses of volunteer editors flag spam edits on Wikipedia [13].
410,soylent-uist2010.,0.01226089522242546,410,We also may effectively personalize by directing tasks to Turkers who have successfully worked on a user's documents before.
224,soylent-uist2010.,0.012157767079770565,224,The Find stage asks ten Turkers to identify candidate areas for shortening in each paragraph.
174,soylent-uist2010.,0.011128488928079605,174,"In their zeal, this worker rendered the resulting sentence ungrammatical."
383,soylent-uist2010.,0.010897879488766193,383,(The average accuracy was 70.8%.)
384,soylent-uist2010.,0.00964926928281784,384,"Turkers commonly got the task mostly correct, but failed on some detail."
101,soylent-uist2010.,0.008754783309996128,101,"In response, Soylent launches a series of Mechanical Turk tasks in the background and notifies the user when the text is ready."
350,soylent-uist2010.,0.008333591744303703,350,We purposefully did not describe the task to the participants so that we would not influence how they wrote their task descriptions.
70,soylent-uist2010.,0.006884755566716194,70,"Recently, Ross et al."
375,soylent-uist2010.,0.006772779393941164,375,This paragraph needs an objective I feel like.
168,soylent-uist2010.,0.006633573677390814,168,Kittur et al.
75,soylent-uist2010.,0.006633573677390814,75,Little et al.
114,soylent-uist2010.,0.006236928049474955,114,"The process finds errors, explains the problem, and offers one to five alternative rewrites."
351,soylent-uist2010.,0.005035751964896917,351,We then introduced participants to The Human Macro and described what it would do.
134,soylent-uist2010.,0.005028317682445049,134,We wish to prevent the user from spending money on a buggy command.
345,soylent-uist2010.,0.004850681405514479,345,Can users communicate their intention clearly?
318,soylent-uist2010.,0.004824195522814989,318,"According to believers, ""Dandu Monara"" landed at Werangatota."
307,soylent-uist2010.,0.0048057627864181995,307,You Kknow Wwhat I am Ssaying.
45,soylent-uist2010.,0.004700346849858761,45,"We then introduce Soylent and its main components: Shortn, Crowdproof, and The Human Macro."
