,sent_id,text,label
0,soylent-uist2010.pdf_0,"Soylent: A Word Processor with a Crowd Inside Björn Hartmann2, Mark S. Ackerman3, David R. Karger1, David Crowell1, Katrina Panovich1 Michael S. Bernstein1, Greg Little1, Robert C. Miller1, 1 MIT CSAIL Cambridge, MA {msbernst, glittle, rcm, karger, dcrowell, kp}@csail.mit.edu 2 Computer Science Division University of California, Berkeley Berkeley, CA bjoern@cs.berkeley.edu 3 Computer Science & Engineering University of Michigan Ann Arbor, MI ackerm@umich.edu ABSTRACT This paper introduces architectural and interaction patterns for integrating crowdsourced human contributions directly into user interfaces.",
1,soylent-uist2010.pdf_1,"We focus on writing and editing, complex endeavors that span many levels of conceptual and pragmatic activity.",
2,soylent-uist2010.pdf_2,"Authoring tools offer help with pragmatics, but for higher-level help, writers commonly turn to other people.",
3,soylent-uist2010.pdf_3,"We thus present Soylent, a word processing interface that enables writers to call on Mechanical Turk workers to shorten, proofread, and otherwise edit parts of their documents on demand.",
4,soylent-uist2010.pdf_4,"To improve worker quality, we introduce the Find-Fix-Verify crowd programming pattern, which splits tasks into a series of generation and review stages.",
5,soylent-uist2010.pdf_5,"Evaluation studies demonstrate the feasibility of crowdsourced editing and investigate questions of reliability, cost, wait time, and work time for edits.",
6,soylent-uist2010.pdf_6,ACM Classification: H5.2 [Information interfaces and presentation]: User Interfaces. -,
7,soylent-uist2010.pdf_7,Graphical user interfaces.,
8,soylent-uist2010.pdf_8,"General terms: Design, Human Factors Keywords: Outsourcing, Mechanical Turk, Crowdsourcing INTRODUCTION Word processing is a complex task that touches on many goals of human-computer interaction.",
9,soylent-uist2010.pdf_9,It supports a deep cognitive activity – writing – and requires complicated manipulations.,
10,soylent-uist2010.pdf_10,"Writing is difficult: even experts routinely make style, grammar and spelling mistakes.",
11,soylent-uist2010.pdf_11,"Then, when a writer makes high-level decisions like changing a passage from past to present tense or fleshing out citation sketches into a true references section, she is faced with executing daunting numbers of nontrivial tasks across the entire document.",
12,soylent-uist2010.pdf_12,"Finally, when the document is a half-page over length, interactive software provides little support to help us trim those last few paragraphs.",
13,soylent-uist2010.pdf_13,"Good user interfaces aid these tasks; good artificial intelligence helps as well, but it is clear that we have far to go.",
14,soylent-uist2010.pdf_14,"In our everyday life, when we need help with complex cognition and manipulation tasks, we often turn to other people.",
15,soylent-uist2010.pdf_15,We ask friends to answer questions that we cannot Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page.,
16,soylent-uist2010.pdf_16,"To copy otherwise, to republish, to post on servers or to redistribute to lists, requires prior specific permission and/or a fee.",
17,soylent-uist2010.pdf_17,"UIST'10, October 3–6, 2010, New York, New York, USA.",
18,soylent-uist2010.pdf_18,Copyright 2010 ACM 978-1-4503-0271-5/10/10....$10.00.,
19,soylent-uist2010.pdf_19,answer ourselves [8]; masses of volunteer editors flag spam edits on Wikipedia [13].,
20,soylent-uist2010.pdf_20,Writing is no exception [7]: we commonly recruit friends and colleagues to help us shape and polish our writing.,
21,soylent-uist2010.pdf_21,"But we cannot always rely on them: colleagues do not want to proofread every sentence we write, cut a few lines from every paragraph in a ten-page paper, or help us format thirty ACM-style references.",
22,soylent-uist2010.pdf_22,"As a step toward integrating this human expertise permanently into our writing tools, we present Soylent, a word processing interface that utilizes crowd contributions to aid complex writing tasks ranging from error prevention and paragraph shortening to automation of tasks like citation searches and tense changes.",
23,soylent-uist2010.pdf_23,We hypothesize that crowd workers with a basic knowledge of written English can support both novice and expert writers.,
24,soylent-uist2010.pdf_24,"These workers perform tasks that the writer might not, such as scrupulously scanning for text to cut, or updating a list of addresses to include a zip code.",
25,soylent-uist2010.pdf_25,"They can also solve problems that artificial intelligence cannot, for example flagging writing errors that the word processor does not catch.",
26,soylent-uist2010.pdf_26,Soylent aids the writing process by integrating paid crowd workers from Amazon's Mechanical Turk platform1 into Microsoft Word.,
27,soylent-uist2010.pdf_27,Soylent is people: its core algorithms involve calls to Mechanical Turk workers (Turkers).,
28,soylent-uist2010.pdf_28,"Soylent is comprised of three main components: 1) Shortn, a text shortening service that cuts selected text down to 85% of its original length typically without changing the meaning of the text or introducing errors.",
29,soylent-uist2010.pdf_29,"2) Crowdproof, a human-powered spelling and grammar checker that finds problems Word misses, explains the problems, and suggests fixes.",
30,soylent-uist2010.pdf_30,"3) The Human Macro, an interface for offloading arbitrary word processing tasks such as formatting citations or finding appropriate figures.",
31,soylent-uist2010.pdf_31,The main contribution of this paper is the idea of embedding paid crowd workers in an interactive user interface to support complex cognition and manipulation tasks on demand.,
32,soylent-uist2010.pdf_32,These crowd workers do tasks that computers cannot reliably do automatically and the user cannot easily script.,
33,soylent-uist2010.pdf_33,"This paper contributes the design of one such system, an implementation embedded in Microsoft Word, and a programming pattern that increases the reliability of paid crowd workers on complex tasks.",
34,soylent-uist2010.pdf_34,"We expand these contri- 1 http://www.mturk.com butions with feasibility studies of the performance, cost, and time delay of our three main components and a discussion of the limitations of our approach with respect to privacy, delay, cost, and domain knowledge.",
35,soylent-uist2010.pdf_35,The fundamental technical contribution of this work is a crowd programming pattern called Find-Fix-Verify.,
36,soylent-uist2010.pdf_36,"Mechanical Turk costs money and it can be error-prone; to be worthwhile to the user, we must control costs and ensure correctness.",
37,soylent-uist2010.pdf_37,Find-Fix-Verify splits complex crowd intelligence tasks into a series of generation and review stages that utilize independent agreement and voting to produce reliable results.,
38,soylent-uist2010.pdf_38,"Rather than ask a single crowd worker to read and edit an entire paragraph, for example, Find-FixVerify recruits one set of workers to find candidate areas for improvement, then collects a set of candidate improvements, and finally filters out incorrect candidates.",
39,soylent-uist2010.pdf_39,"This process prevents errant crowd workers from contributing too much, too little, or introducing errors into the document.",
40,soylent-uist2010.pdf_40,"Soylent is influenced by prior work on crowdsourced interfaces (e.g., [1, 9, 24]).",
41,soylent-uist2010.pdf_41,Such work has generally aggregated previous crowd interactions rather than recruited an ondemand workforce for new requests.,
42,soylent-uist2010.pdf_42,"Instead of training on previous users, we ask crowd workers to solve personalized tasks on demand each time.",
43,soylent-uist2010.pdf_43,This interface-for-hire model has benefits and limitations that we explore in this paper.,
44,soylent-uist2010.pdf_44,"In the rest of this paper, we review related work in crowdsourced interfaces and text editing.",
45,soylent-uist2010.pdf_45,"We then introduce Soylent and its main components: Shortn, Crowdproof, and The Human Macro.",
46,soylent-uist2010.pdf_46,We detail the Find-Fix-Verify pattern that powers Soylent; evaluate the feasibility of our three components; and conclude with a discussion of privacy issues and inherent limitations of our approach.,
47,soylent-uist2010.pdf_47,"RELATED WORK Soylent is related to work in two areas: crowdsourcing systems, and artificial intelligence for word processing.",
48,soylent-uist2010.pdf_48,Crowdsourcing Gathering data to train algorithms is a common use of crowdsourcing.,
49,soylent-uist2010.pdf_49,"For example, the ESP Game [27] collects descriptions of objects in images for use in object recognition.",
50,soylent-uist2010.pdf_50,Mechanical Turk is already used to collect labeled data for machine vision [26] and natural language processing [25].,
51,soylent-uist2010.pdf_51,"Soylent tackles problems that are currently infeasible for AI algorithms, even with abundant data.",
52,soylent-uist2010.pdf_52,"However, Soylent's output may be used to train future AIs.",
53,soylent-uist2010.pdf_53,Several systems power novel interactions with the wisdom of crowds.,
54,soylent-uist2010.pdf_54,HelpMeOut [9] collects debugging traces and applies others' error solutions to help fix code.,
55,soylent-uist2010.pdf_55,FeedMe [1] and Collabio [2] use friends to power recommender systems and tag cloud visualizations.,
56,soylent-uist2010.pdf_56,MySong [24] indexes a library of music chords to enable the user to build a chord progression by singing a melody line.,
57,soylent-uist2010.pdf_57,Google Suggest mines query logs to speed and direct new queries.,
58,soylent-uist2010.pdf_58,"Soylent is unique in asking paid crowd workers to solve the user's problems, rather than aggregating past activity.",
59,soylent-uist2010.pdf_59,Having an 3 on-demand workforce also expands the realm of tasks we can support beyond those requiring traces or incentives.,
60,soylent-uist2010.pdf_60,Soylent builds on work embedding on-demand workforces inside applications and services.,
61,soylent-uist2010.pdf_61,ChaCha2 recruits humans to do search engine queries for users who are mobile; Amazon Remembers uses Mechanical Turk to find products that match a photo taken by the user on a phone; Sala et al.,
62,soylent-uist2010.pdf_62,'s PEST [23] uses Mechanical Turk to vet advertisement recommendations.,
63,soylent-uist2010.pdf_63,These systems consist of a single user operation and little or no interaction.,
64,soylent-uist2010.pdf_64,"Soylent extends this work to more creative, complex tasks where the user can make personalized requests and interact with the returned data by direct manipulation.",
65,soylent-uist2010.pdf_65,Proofreading is emerging as a common task on Mechanical offers a proofreading service Turk.,
66,soylent-uist2010.pdf_66,Standard Minds backed by Mechanical Turk that accepts plain text via a web form and returns edits one day later.,
67,soylent-uist2010.pdf_67,"By contrast, Soylent is embedded in a word processor, has much lower latency, and presents the edits in Microsoft Word's user interface.",
68,soylent-uist2010.pdf_68,Our work also contributes the Find-Fix-Verify pattern to improve the quality of such proofreading services.,
69,soylent-uist2010.pdf_69,Soylent's usage of human computation means that its behavior depends in large part on qualities of crowdsourcing systems and Mechanical Turk in particular.,
70,soylent-uist2010.pdf_70,"Recently, Ross et al.",
71,soylent-uist2010.pdf_71,"found that Mechanical Turk had two major populations: well-educated, moderate-income Americans, and young, well-educated but less wealthy workers from India [22].",
72,soylent-uist2010.pdf_72,"Kittur and Chi considered how to run user studies on Mechanical Turk, proposing the use of quantitative verifiable questions as a verification mechanism [11].",
73,soylent-uist2010.pdf_73,Find-FixVerify builds on this notion of requiring verification to control quality.,
74,soylent-uist2010.pdf_74,"Heer and Bostock explored Mechanical Turk as a testbed for graphical perception experiments, finding reliable results when they implemented basic measures like qualification tests [10].",
75,soylent-uist2010.pdf_75,Little et al.,
76,soylent-uist2010.pdf_76,advocate the use of human computation algorithms on Mechanical Turk [16].,
77,soylent-uist2010.pdf_77,Find-Fix-Verify may be viewed as a new design pattern for human computation algorithms.,
78,soylent-uist2010.pdf_78,"It is specifically intended to control lazy and overeager Turkers, identify which edits are tied to the same problem, and visualize them in an interface.",
79,soylent-uist2010.pdf_79,Quinn and Bederson have authored a survey of human computation systems that expands on this brief review [21].,
80,soylent-uist2010.pdf_80,Artificial Intelligence for Word Processing Automatic proofreading has a long history of research [14] and has seen successful deployment in word processors.,
81,soylent-uist2010.pdf_81,"However, Microsoft Word's spell checker frequently suffers from false positives, particularly with proper nouns and unusual names.",
82,soylent-uist2010.pdf_82,"Its grammar checker suffers from the opposite problem: it misses blatant errors.4 Human checkers are currently more reliable, and can also offer suggestions on how to fix the errors they find, which is not always possible 2 http://www.chacha.com 3 http://www.standardminds.com 4 http://faculty.washington.edu/sandeep/check Figure 1.",
83,soylent-uist2010.pdf_83,Shortn allows users to adjust the length of a paragraph via a slider.,
84,soylent-uist2010.pdf_84,Red text indicates locations where cuts or rewrites have occurred.,
85,soylent-uist2010.pdf_85,"Tick marks represent possible lengths, and the blue background bounds the possible lengths.",
86,soylent-uist2010.pdf_86,"for Word — for example, the common (but useless) Microsoft Word feedback, ""Fragment; consider revising.""",
87,soylent-uist2010.pdf_87,"Soylent's Shortn component is related to document summarization, which has also received substantial research attention [18].",
88,soylent-uist2010.pdf_88,"Microsoft Word has a summarization feature that uses sentence extraction, which identifies whole sentences to preserve in a passage and deletes the rest, producing substantial shortening but at a great cost in content.",
89,soylent-uist2010.pdf_89,"Shortn's approach, which can rewrite or cut parts of sentences, is an example of sentence compression, an area of active recent research [5, 12] that suffers from a lack of training data [4].",
90,soylent-uist2010.pdf_90,The Human Macro is related to AI techniques for end-user programming.,
91,soylent-uist2010.pdf_91,"Several systems allow users to demonstrate repetitive editing tasks for automatic execution; examples include Eager, TELS, and Cima [6], LAPIS [20], and SmartEdit [15].",
92,soylent-uist2010.pdf_92,Other work has considered naturallanguage-like programming syntax (e.g. [17]).,
93,soylent-uist2010.pdf_93,"SOYLENT Soylent is a prototype crowdsourced word processing interface with three features: shortening, proofreading, and arbitrary macro tasks via human-language input.",
94,soylent-uist2010.pdf_94,Shortn: Text Shortening Some authors struggle to remain within length limits on papers and spend the last hours of the writing process tweaking paragraphs to shave a few lines.,
95,soylent-uist2010.pdf_95,This is painful work and a questionable use of the authors' time.,
96,soylent-uist2010.pdf_96,Other writers write overly wordy prose and need help editing.,
97,soylent-uist2010.pdf_97,"Automatic summarization algorithms can provide useful summaries [18], but cannot easily determine what language to cut or shorten.",
98,soylent-uist2010.pdf_98,"Additionally, they cannot use language generation techniques to make sure the resulting text flows.",
99,soylent-uist2010.pdf_99,Soylent's Shortn interface allows authors to condense sections of text.,
100,soylent-uist2010.pdf_100,The user selects the area of text that is too long—for example a paragraph or section—then presses the Shortn button in the Word's Soylent ribbon tab.,
101,soylent-uist2010.pdf_101,"In response, Soylent launches a series of Mechanical Turk tasks in the background and notifies the user when the text is ready.",
102,soylent-uist2010.pdf_102,The user can then launch the Shortn dialog box (Figure 1).,
103,soylent-uist2010.pdf_103,On the left is the original paragraph; on the right is the proposed revision.,
104,soylent-uist2010.pdf_104,Shortn provides a single slider to allow the user to continuously adjust the length of the paragraph.,
105,soylent-uist2010.pdf_105,"As the user does so, Shortn computes the combination of crowd trimmings that most closely match the desired length and presents that text to the user on the right.",
106,soylent-uist2010.pdf_106,"From the user's point of view, as she moves the slider to make the paragraph shorter, sentences are slightly edited, combined and cut completely to match the length requirement.",
107,soylent-uist2010.pdf_107,Areas of text that have been edited or removed are highlighted in red in the visualization.,
108,soylent-uist2010.pdf_108,These areas may differ from one slider position to the next: the cuts are not monotonic in this sense.,
109,soylent-uist2010.pdf_109,"Shortn typically can remove up to 15–30% of a paragraph in a single pass, and up to ~50% with multiple iterations.",
110,soylent-uist2010.pdf_110,"The Shortn algorithm preserves meaning when possible, so it cuts unnecessary language or concept repetition.",
111,soylent-uist2010.pdf_111,Removing whole arguments or sections is left to the user.,
112,soylent-uist2010.pdf_112,"Crowdproof: Crowdsourced Proofreading Soylent provides a human-aided spelling, grammar and style checking interface called Crowdproof (Figure 2).",
113,soylent-uist2010.pdf_113,"Crowdproof aims to catch spelling, style and grammar errors that AI algorithms today cannot find or fix.",
114,soylent-uist2010.pdf_114,"The process finds errors, explains the problem, and offers one to five alternative rewrites.",
115,soylent-uist2010.pdf_115,Crowdproof is essentially a distributed proofreader operating for cents per task.,
116,soylent-uist2010.pdf_116,"To use Crowdproof, the user highlights a section of text and presses the proofreading button in the Soylent ribbon tab.",
117,soylent-uist2010.pdf_117,The task is queued to the Soylent status pane and the user is free to keep working.,
118,soylent-uist2010.pdf_118,"(Because Crowdproof costs money, it does not issue requests unless commanded.)",
119,soylent-uist2010.pdf_119,Figure 2.,
120,soylent-uist2010.pdf_120,Crowdproof is a human-augmented proofreader.,
121,soylent-uist2010.pdf_121,The drop-down explains the problem (blue title) and suggests fixes (gold selection).,
122,soylent-uist2010.pdf_122,"When the crowd is finished, Soylent calls out the edited sections with a purple dashed underline.",
123,soylent-uist2010.pdf_123,"If the user clicks on the error, a drop-down menu explains the problem and offers a list of alternatives.",
124,soylent-uist2010.pdf_124,"By clicking on the desired alternative, the user replaces the incorrect text with an option of his or her choice.",
125,soylent-uist2010.pdf_125,"If the user hovers over the Error Descriptions menu item, the popout menu suggests additional second-opinions of why the error was called out.",
126,soylent-uist2010.pdf_126,The Human Macro: Natural Language Crowd Scripting Embedding crowd workers in an interface allows us to reconsider designs for short end-user programming tasks.,
127,soylent-uist2010.pdf_127,"Typically, users need to translate their intentions into algorithmic thinking explicitly via a scripting language or implicitly through learned activity [6].",
